Series_Complete_18PlusPop_Pct,SVI_CTGY,per_gop,life_expectancy,per_foodinsecurity,med_household_income,per_rural,per_65andover,per_18andyounger,per_broadband,per_BIPOC,per_uninsured,primarycarephysicians_ratio,per_flushotvaccine,per_somecollege,per_unemployed,per_poverty
0.483,B,0.42021760221056215,80.7,0.09,79622,0.002,0.127,0.233,0.92,0.28200000000000003,0.14,1352,0.52,0.75,0.03,0.083
0.906,D,0.3673933348606877,81.9,0.19,48102,0.174,0.133,0.285,0.78,0.051,0.08,4041,0.32,0.53,0.183,0.22
0.6809999999999999,A,0.5922170457659632,79.3,0.12,75840,0.29100000000000004,0.15,0.234,0.82,0.098,0.07,2199,0.48,0.67,0.034,0.083
0.542,A,0.7291132752434649,80.6,0.1,66168,1,0.209,0.23,0.77,0.015,0.08,2300,0.48,0.78,0.032,0.069
0.644,B,0.5313398504887866,79.3,0.1,51919,0.624,0.24,0.2,0.76,0.026,0.07,1481,0.45,0.62,0.043,0.116
0.6859999999999999,B,0.4450802751066948,77.2,0.13,57753,0.039,0.185,0.207,0.83,0.15000000000000002,0.07,1021,0.54,0.69,0.043,0.142
0.8059999999999999,C,0.5807745473498153,78,0.13,53829,0.48,0.142,0.24,0.84,0.07,0.05,1961,0.54,0.64,0.05599999999999999,0.146
0.633,B,0.6537214903803265,77,0.11,59985,0.472,0.217,0.192,0.8,0.023,0.06,2379,0.52,0.54,0.054,0.098
0.759,A,0.6220075387005812,81.7,0.06,119637,0.194,0.135,0.268,0.93,0.047,0.06,686,0.59,0.86,0.024,0.043
0.521,C,0.7313432835820896,75.8,0.15,43695,0.486,0.209,0.22,0.73,0.01,0.07,2977,0.37,0.64,0.054,0.16399999999999998
0.4429999999999999,D,0.7696920692675696,73.9,0.16,47988,0.507,0.16699999999999998,0.255,0.69,0.171,0.1,2105,0.45,0.48,0.047,0.191
0.721,A,0.4502914762880101,83.8,0.06,73637,1,0.131,0.238,0.9,0.014,0.17,2910,0.33,0.8,0.022,0.077
0.464,C,0.7984535047198232,78.2,0.14,53733,0.45,0.22,0.228,0.78,0.016,0.16,1763,0.36,0.5,0.033,0.127
0.5710000000000001,B,0.7755436720142602,76.2,0.11,51542,0.7170000000000001,0.22,0.21600000000000005,0.79,0.016,0.07,2509,0.39,0.58,0.042,0.116
0.556,C,0.7897611788617886,75.8,0.13,50332,0.595,0.204,0.192,0.74,0.025,0.12,2572,0.5,0.52,0.037,0.125
0.595,C,0.7344079053944598,75,0.14,48902,0.75,0.18600000000000003,0.233,0.66,0.067,0.07,3374,0.53,0.51,0.04,0.153
0.418,C,0.8414113997673517,75.7,0.13,44457,0.3670000000000001,0.147,0.206,0.66,0.123,0.21,2036,0.26,0.3,0.035,0.195
0.528,B,0.6771733323508281,78,0.12,58747,0.51,0.183,0.242,0.79,0.018,0.12,1933,0.5,0.53,0.032,0.099
0.933,D,0.17484276729559747,71.5,0.18,40300,1,0.14,0.33299999999999996,0.73,0.829,0.08,2329,0.41,0.55,0.08,0.253
0.6559999999999999,A,0.6681316581474227,81.5,0.08,64380,0.466,0.191,0.228,0.83,0.013,0.05,1055,0.51,0.68,0.037,0.063
0.6759999999999999,B,0.5029143959652033,78.6,0.13,59976,0.13699999999999998,0.166,0.22,0.87,0.043,0.07,1134,0.48,0.71,0.052,0.129
0.4320000000000001,C,0.83070473148333,78.1,0.14,50630,0.691,0.221,0.231,0.81,0.051,0.18,3589,0.44,0.7,0.036,0.14400000000000002
0.5579999999999999,A,0.7730496453900709,80.2,0.05,55880,1,0.285,0.193,0.78,0.016,0.09,229,0.58,0.68,0.022,0.107
0.465,D,0.6272543327175156,79.7,0.15,61822,0.616,0.118,0.241,0.71,0.251,0.23,7589,0.45,0.52,0.037,0.132
0.524,D,0.7984126984126985,76.2,0.17,42719,0.5770000000000001,0.174,0.275,0.67,0.053,0.25,3290,0.35,0.49,0.038,0.185
0.7090000000000001,C,0.33499001707959536,77.2,0.14,64648,0.01399999999999999,0.124,0.232,0.87,0.236,0.09,988,0.53,0.72,0.035,0.135
0.476,C,0.4291867840575594,81,0.13,45906,0.275,0.107,0.15,0.84,0.034,0.06,1660,0.56,0.85,0.043,0.263
0.7190000000000001,D,0.607987610287216,82.7,0.12,63086,0.266,0.182,0.258,0.8,0.029,0.11,4291,0.39,0.5,0.05599999999999999,0.109
0.486,C,0.8642461669505963,75.8,0.17,49544,0.856,0.155,0.209,0.64,0.164,0.08,11241,0.42,0.35,0.05799999999999999,0.18600000000000003
0.417,C,0.7483106698923834,79,0.13,53613,0.705,0.155,0.173,0.79,0.132,0.05,3422,0.33,0.36,0.046,0.165
0.6559999999999999,A,0.6092432250084336,78,0.1,62241,0.778,0.218,0.211,0.82,0.00999999999999999,0.05,15601,0.46,0.64,0.05,0.081
0.501,C,0.7079796264855688,84.6,0.13,61205,1,0.276,0.191,0.74,0.029,0.07,1894,0.21,0.58,0.037,0.109
0.624,B,0.539440572564341,78.6,0.11,72071,0.193,0.134,0.254,0.89,0.19400000000000003,0.11,1174,0.52,0.71,0.036,0.079
